Enable,msg_ID,Name,file_rel,fmt,header
TRUE,0,Debug,Debug.csv,s,Mes
TRUE,1,Log,Log.csv,s,Mes
TRUE,4,Cell_Voltages,Cell_Voltages.csv,>12H,"Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12"
TRUE,5,IMD,IMD.csv,BB,"freq,duty,Resistance"
TRUE,6,Charger,Charger.csv,>HH?,"Volt,Current,Status"
TRUE,7,Cell_Temp,Cell_Temp.csv,>256H,"Thermistor_1,Thermistor_2,Thermistor_3,Thermistor_4,Thermistor_5,Thermistor_6,Thermistor_7,Thermistor_8,Thermistor_9,Thermistor_10,Thermistor_11,Thermistor_12,Thermistor_13,Thermistor_14,Thermistor_15,Thermistor_16,Thermistor_17,Thermistor_18,Thermistor_19,Thermistor_20,Thermistor_21,Thermistor_22,Thermistor_23,Thermistor_24,Thermistor_25,Thermistor_26,Thermistor_27,Thermistor_28,Thermistor_29,Thermistor_30,Thermistor_31,Thermistor_32,Thermistor_33,Thermistor_34,Thermistor_35,Thermistor_36,Thermistor_37,Thermistor_38,Thermistor_39,Thermistor_40,Thermistor_41,Thermistor_42,Thermistor_43,Thermistor_44,Thermistor_45,Thermistor_46,Thermistor_47,Thermistor_48,Thermistor_49,Thermistor_50,Thermistor_51,Thermistor_52,Thermistor_53,Thermistor_54,Thermistor_55,Thermistor_56,Thermistor_57,Thermistor_58,Thermistor_59,Thermistor_60,Thermistor_61,Thermistor_62,Thermistor_63,Thermistor_64,Thermistor_65,Thermistor_66,Thermistor_67,Thermistor_68,Thermistor_69,Thermistor_70,Thermistor_71,Thermistor_72,Thermistor_73,Thermistor_74,Thermistor_75,Thermistor_76,Thermistor_77,Thermistor_78,Thermistor_79,Thermistor_80,Thermistor_81,Thermistor_82,Thermistor_83,Thermistor_84,Thermistor_85,Thermistor_86,Thermistor_87,Thermistor_88,Thermistor_89,Thermistor_90,Thermistor_91,Thermistor_92,Thermistor_93,Thermistor_94,Thermistor_95,Thermistor_96,Thermistor_97,Thermistor_98,Thermistor_99,Thermistor_100,Thermistor_101,Thermistor_102,Thermistor_103,Thermistor_104,Thermistor_105,Thermistor_106,Thermistor_107,Thermistor_108,Thermistor_109,Thermistor_110,Thermistor_111,Thermistor_112,Thermistor_113,Thermistor_114,Thermistor_115,Thermistor_116,Thermistor_117,Thermistor_118,Thermistor_119,Thermistor_120,Thermistor_121,Thermistor_122,Thermistor_123,Thermistor_124,Thermistor_125,Thermistor_126,Thermistor_127,Thermistor_128,Thermistor_129,Thermistor_130,Thermistor_131,Thermistor_132,Thermistor_133,Thermistor_134,Thermistor_135,Thermistor_136,Thermistor_137,Thermistor_138,Thermistor_139,Thermistor_140,Thermistor_141,Thermistor_142,Thermistor_143,Thermistor_144,Thermistor_145,Thermistor_146,Thermistor_147,Thermistor_148,Thermistor_149,Thermistor_150,Thermistor_151,Thermistor_152,Thermistor_153,Thermistor_154,Thermistor_155,Thermistor_156,Thermistor_157,Thermistor_158,Thermistor_159,Thermistor_160,Thermistor_161,Thermistor_162,Thermistor_163,Thermistor_164,Thermistor_165,Thermistor_166,Thermistor_167,Thermistor_168,Thermistor_169,Thermistor_170,Thermistor_171,Thermistor_172,Thermistor_173,Thermistor_174,Thermistor_175,Thermistor_176,Thermistor_177,Thermistor_178,Thermistor_179,Thermistor_180,Thermistor_181,Thermistor_182,Thermistor_183,Thermistor_184,Thermistor_185,Thermistor_186,Thermistor_187,Thermistor_188,Thermistor_189,Thermistor_190,Thermistor_191,Thermistor_192,Thermistor_193,Thermistor_194,Thermistor_195,Thermistor_196,Thermistor_197,Thermistor_198,Thermistor_199,Thermistor_200,Thermistor_201,Thermistor_202,Thermistor_203,Thermistor_204,Thermistor_205,Thermistor_206,Thermistor_207,Thermistor_208,Thermistor_209,Thermistor_210,Thermistor_211,Thermistor_212,Thermistor_213,Thermistor_214,Thermistor_215,Thermistor_216,Thermistor_217,Thermistor_218,Thermistor_219,Thermistor_220,Thermistor_221,Thermistor_222,Thermistor_223,Thermistor_224,Thermistor_225,Thermistor_226,Thermistor_227,Thermistor_228,Thermistor_229,Thermistor_230,Thermistor_231,Thermistor_232,Thermistor_233,Thermistor_234,Thermistor_235,Thermistor_236,Thermistor_237,Thermistor_238,Thermistor_239,Thermistor_240,Thermistor_241,Thermistor_242,Thermistor_243,Thermistor_244,Thermistor_245,Thermistor_246,Thermistor_247,Thermistor_248,Thermistor_249,Thermistor_250,Thermistor_251,Thermistor_252,Thermistor_253,Thermistor_254,Thermistor_255,Thermistor_256"
TRUE,8,Fans,Fans.csv,>8B,Fan
TRUE,9,FullBattery,FullBattery.csv,>HH,"Current,HV"
TRUE,10,SlaveState,SlaveState.csv,>3H,"2ndRef_1,Temp_1,SC_1"
TRUE,13,DCC,DCC.csv,>3B,"Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12"
