Time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Max,Min,Avg
0,0.338795348,0.012047666,0.860550156,0.996503346,0.91792976,0.338943755,0.229708645,0.105603333,0.011818597,0.890860774,0.829487067,0.401577826,0.996503346,0.011818597,0.494485523
0.1,0.121795274,0.818744483,0.397065787,0.077132238,0.416871487,0.728127579,0.144968985,0.155561635,0.243680412,0.831739086,0.954466542,0.493867399,0.954466542,0.077132238,0.448668409
0.2,0.187919674,0.129961327,0.780037737,0.681084363,0.777350823,0.959759226,0.013041311,0.081507615,0.745166717,0.501875965,0.806907685,0.11028343,0.959759226,0.013041311,0.481241323
0.3,0.035038812,0.1391677,0.77027889,0.840044096,0.477609794,0.574354332,0.655475293,0.694718528,0.109950684,0.592496006,0.997683013,0.479411634,0.997683013,0.035038812,0.530519065
0.4,0.520088921,0.768289293,0.691196873,0.973992004,0.994834795,0.824005262,0.734972642,0.490251688,0.197328494,0.904382077,0.849535307,0.917673873,0.994834795,0.197328494,0.738879269
0.5,0.353720056,0.332983811,0.760090528,0.659011759,0.709447321,0.599145739,0.746944292,0.977747396,0.232645792,0.11811323,0.611203378,0.52339138,0.977747396,0.11811323,0.552037057
0.6,0.571727169,0.107945591,0.614302442,0.921512864,0.776878011,0.176759159,0.832768747,0.12836278,0.867697961,0.451456556,0.194797445,0.144252793,0.921512864,0.107945591,0.482371793
0.7,0.757719556,0.423132713,0.218392245,0.185242743,0.840474745,0.912208025,0.480123741,0.474569267,0.862730397,0.333585147,0.373532054,0.873264258,0.912208025,0.185242743,0.561247908
0.8,0.549697709,0.325346673,0.70655282,0.959368364,0.195364619,0.689131933,0.222484799,0.626372315,0.912556353,0.93794779,0.6490142,0.86745107,0.959368364,0.195364619,0.636774054
0.9,0.964543298,0.681743079,0.50883488,0.941728546,0.919736363,0.769443965,0.53452645,0.738612784,0.030676542,0.030222682,0.991567253,0.678832817,0.991567253,0.030222682,0.649205722
1,0.166298003,0.866104053,0.201260039,0.829468312,0.5316842,0.638696731,0.735069026,0.579011461,0.34258658,0.513817776,0.187275759,0.290602428,0.866104053,0.166298003,0.490156197
1.1,0.178737747,0.485212201,0.508362081,0.854577954,0.094722456,0.381842728,0.840367869,0.118730928,0.075448272,0.804930935,0.29088066,0.169370256,0.854577954,0.075448272,0.400265341
1.2,0.095747198,0.937957885,0.087214281,0.439774532,0.420658486,0.0730576,0.419506014,0.822613648,0.59519395,0.333771735,0.766020464,0.314655916,0.937957885,0.0730576,0.442180976
1.3,0.990626106,0.886122666,0.243827712,0.043964507,0.132009399,0.2364003,0.491752521,0.389930297,0.490767025,0.931588307,0.32525916,0.137419033,0.990626106,0.043964507,0.44163892
1.4,0.229952373,0.66948138,0.547675708,0.958027776,0.265538508,0.922280911,0.974758701,0.205625581,0.957898771,0.070344798,0.168519709,0.958597832,0.974758701,0.070344798,0.577391837
1.5,0.70076164,0.050672337,0.003295348,0.43579667,0.102537359,0.949570925,0.328790943,0.36981827,0.424534207,0.717581326,0.459859823,0.223241795,0.949570925,0.003295348,0.397205054
1.6,0.411512168,0.005232628,0.658275114,0.715205023,0.469131724,0.181460814,0.053194842,0.827458071,0.026763239,0.429400837,0.274234048,0.710925049,0.827458071,0.005232628,0.396899463
1.7,0.034619245,0.020469852,0.55600078,0.403563159,0.035954065,0.129953745,0.955839064,0.834545892,0.6455854,0.320293663,0.408924723,0.253358485,0.955839064,0.020469852,0.383259006
1.8,0.006222645,0.463187213,0.670717727,0.564161909,0.629757346,0.491961963,0.594925669,0.322041467,0.79634377,0.481153793,0.698767217,0.3225515,0.79634377,0.006222645,0.503482685
1.9,0.257178273,0.396848091,0.372845716,0.585607681,0.062463742,0.374360953,0.8388621,0.424025872,0.195265001,0.742744514,0.207356289,0.555401088,0.8388621,0.062463742,0.41774661
2,0.798096332,0.956986904,0.858392261,0.295677654,0.369469115,0.642071321,0.773892943,0.355953939,0.091589194,0.277786581,0.899111759,0.970828897,0.970828897,0.091589194,0.607488075
2.1,0.381348401,0.853686093,0.860326183,0.417303531,0.133463385,0.435567202,0.351724643,0.521924116,0.435996981,0.295295996,0.731523296,0.965651814,0.965651814,0.133463385,0.531984303
2.2,0.726233519,0.271872888,0.479844462,0.017137602,0.932097008,0.854286379,0.956300453,0.524984317,0.024427036,0.843654372,0.090853176,0.392097468,0.956300453,0.017137602,0.50948239
2.3,0.421492167,0.753972497,0.129042052,0.649318884,0.928050963,0.183031739,0.645184311,0.452659932,0.703126583,0.944659822,0.41518867,0.169505056,0.944659822,0.129042052,0.532936056
2.4,0.006103669,0.985772877,0.397179322,0.263556925,0.632532702,0.733141944,0.52734754,0.306874041,0.127975736,0.158618871,0.331169989,0.663818107,0.985772877,0.006103669,0.427840977
2.5,0.610287034,0.392341855,0.36980447,0.370581687,0.615204295,0.324873687,0.324503243,0.525411246,0.619724198,0.659845158,0.03383237,0.262171546,0.659845158,0.03383237,0.425715066
2.6,0.3117784,0.058903404,0.282285345,0.964111717,0.763956983,0.567862459,0.335761415,0.692963541,0.991010978,0.576007019,0.018047297,0.739559006,0.991010978,0.018047297,0.525187297
2.7,0.001770004,0.996371554,0.008389858,0.10460131,0.329946412,0.817274058,0.074327852,0.242108121,0.027656123,0.667036623,0.375097973,0.82347578,0.996371554,0.001770004,0.372337972
2.8,0.907449659,0.213262599,0.618996779,0.327377869,0.264040952,0.01007288,0.917954633,0.634450324,0.201252899,0.556269969,0.574881792,0.215302157,0.917954633,0.01007288,0.453442709
2.9,0.320589195,0.296787852,0.545670071,0.732409055,0.430267484,0.459295513,0.661009056,0.526902711,0.688062474,0.139976842,0.186657063,0.058267362,0.732409055,0.058267362,0.420491223
3,0.536284187,0.271260394,0.430769416,0.206537225,0.490357107,0.52990415,0.043572244,0.182375606,0.610778928,0.700756535,0.644126694,0.933144414,0.933144414,0.043572244,0.464988908
3.1,0.555824668,0.688726393,0.975049859,0.951463507,0.28621711,0.727413882,0.617695246,0.054186988,0.828541295,0.243097121,0.465831414,0.432571638,0.975049859,0.054186988,0.568884927
3.2,0.627970003,0.605842454,0.437959546,0.681324728,0.341906272,0.997181998,0.090472152,0.207010632,0.706968957,0.568280381,0.268335418,0.069741596,0.997181998,0.069741596,0.466916178
3.3,0.876431116,0.788398296,0.441138404,0.75439987,0.414092929,0.262918548,0.725003956,0.830694825,0.671547266,0.820808065,0.926954945,0.197318677,0.926954945,0.197318677,0.642475575
3.4,0.052892396,0.453754641,0.577977546,0.883930527,0.518736448,0.955615754,0.386793813,0.010750819,0.141847055,0.883437856,0.676150605,0.965156864,0.965156864,0.010750819,0.542253694
3.5,0.849385092,0.598749106,0.139511906,0.231849098,0.437469486,0.237741573,0.60897569,0.25337991,0.250684972,0.236933403,0.588841669,0.330297634,0.849385092,0.139511906,0.396984962
3.6,0.324725987,0.712013981,0.734841311,0.171343138,0.739681295,0.359088798,0.793392331,0.460248124,0.620534001,0.086767069,0.321423985,0.533512757,0.793392331,0.086767069,0.488131065
3.7,0.373625764,0.706444787,0.998394652,0.38896191,0.009457498,0.281106189,0.533865518,0.243414037,0.257459136,0.313421535,0.911219164,0.618191471,0.998394652,0.009457498,0.469630138
3.8,0.834392235,0.737283741,0.951736254,0.832698614,0.095002267,0.212766013,0.884989282,0.701410688,0.784430306,0.51504542,0.392371764,0.042853579,0.951736254,0.042853579,0.58208168
3.9,0.018294876,0.113397615,0.295440892,0.280692975,0.336090374,0.231851535,0.151492288,0.197280066,0.227520319,0.616920677,0.28159912,0.391866754,0.616920677,0.018294876,0.261870624
4,0.074542088,0.801260135,0.798050686,0.381789653,0.518950785,0.512510791,0.692002541,0.201084639,0.132562992,0.438652212,0.770446998,0.254098047,0.801260135,0.074542088,0.46466263
