Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
1.3715171999065205,3.5956,3.5994,3.6001,3.5996,3.5975,3.5968,0.0,0.0,0.0,0.0,0.0,0.0
6.3817075999686494,3.5955,3.5994,3.6002,3.5996,3.5976,3.5968,0.0,0.0,0.0,0.0,0.0,0.0
11.392006999929436,3.5956,3.5994,3.6002,3.5997,3.5977,3.5968,0.0,0.0,0.0,0.0,0.0,0.0
16.38631199998781,3.5955,3.5994,3.6002,3.5995,3.5976,3.5967,0.0,0.0,0.0,0.0,0.0,0.0
21.39732639992144,3.5958,3.5993,3.6003,3.5997,3.5977,3.5967,0.0,0.0001,0.0,0.0,0.0,0.0
26.390969299944118,3.5955,3.5994,3.5999,3.5994,3.5976,3.5967,0.0,0.0,0.0,0.0,0.0,0.0
31.40133889997378,3.5956,3.599,3.6004,3.5995,3.5977,3.5966,0.0,0.0,0.0,0.0,0.0,0.0
36.41254829999525,3.5956,3.5994,3.6002,3.5996,3.5976,3.5967,0.0,0.0,0.0,0.0,0.0,0.0
41.422984799952246,3.5956,3.5994,3.6001,3.5994,3.5976,3.5966,0.0,0.0,0.0,0.0,0.0,0.0
46.43272589996923,3.5956,3.5994,3.6001,3.5997,3.5978,3.5966,0.0,0.0,0.0,0.0,0.0,0.0
51.443147699930705,3.5958,3.5994,3.6002,3.5997,3.5976,3.5966,0.0,0.0,0.0,0.0,0.0,0.0
56.45385689998511,3.5954,3.5983,3.5996,3.5987,3.5966,3.5954,0.0,0.0,0.0,0.0,0.0,0.0
61.46411509998143,3.5956,3.5988,3.6002,3.5993,3.5972,3.5961,0.0,0.0,0.0,0.0,0.0,0.0
66.45861999993213,3.5956,3.5993,3.6,3.5995,3.5975,3.5963,0.0,0.0,0.0,0.0,0.0,0.0
71.4690200999612,3.5959,3.5997,3.6001,3.5998,3.5977,3.5965,0.0,0.0001,0.0,0.0,0.0,0.0
76.47889859997667,3.5958,3.5996,3.6002,3.5997,3.5978,3.5975,0.0,0.0001,0.0,0.0,0.0,0.0
81.48938129993621,3.5958,3.5995,3.6003,3.5998,3.5977,3.5967,0.0,0.0,0.0,0.0,0.0,0.0
86.48376429989003,3.5958,3.5996,3.6002,3.5996,3.5976,3.5968,0.0,0.0,0.0,0.0,0.0,0.0
91.4944308999693,3.5958,3.5995,3.6002,3.5996,3.5974,3.5967,0.0,0.0,0.0,0.0,0.0,0.0
96.48835809994489,3.5958,3.5994,3.6003,3.5996,3.5976,3.5965,0.0,0.0,0.0,0.0,0.0,0.0
101.49899599992204,3.5958,3.5995,3.6001,3.5996,3.5976,3.5965,0.0,0.0,0.0,0.0,0.0,0.0
106.50927329994738,3.5966,3.6,3.6012,3.6001,3.5984,3.5976,0.0,0.0,0.0,0.0,0.0,0.0
111.51970159995835,3.5966,3.6,3.6013,3.6001,3.5984,3.5977,0.0,0.0,0.0,0.0,0.0,0.0
116.53049929998815,3.5966,3.6001,3.6012,3.6002,3.5984,3.5977,0.0,0.0,0.0,0.0,0.0,0.0
121.54096269991715,3.597,3.6007,3.602,3.6008,3.5993,3.5987,0.0,0.0,0.0,0.0,0.0,0.0
126.55105489993002,3.5971,3.6005,3.602,3.6009,3.5994,3.5988,0.0,0.0,0.0,0.0,0.0,0.0
131.5624453999335,3.597,3.6007,3.6021,3.6008,3.5993,3.5987,0.0,0.0,0.0,0.0,0.0,0.0
136.57202559988946,3.5975,3.6012,3.6027,3.6015,3.6001,3.5996,0.0,0.0,0.0,0.0,0.0,0.0
